ch_name,mal_id,mal_title,img_url
潔癖男子！青山君,34825,Keppeki Danshi! Aoyama-kun,https://cdn.myanimelist.net/images/anime/9/86644.jpg
TIGER×DRAGON！,4224,Toradora!,https://cdn.myanimelist.net/images/anime/13/22128.jpg
SHADOWS HOUSE-影宅- 第二季,49782,Shadows House 2nd Season,https://cdn.myanimelist.net/images/anime/1634/124231.jpg
Dr.STONE 新石紀 第二季,40852,Dr. Stone: Stone Wars,https://cdn.myanimelist.net/images/anime/1711/110614.jpg
Dr.STONE 新石紀,38691,Dr. Stone,https://cdn.myanimelist.net/images/anime/1613/102576.jpg
青春豬頭少年不會夢到嬌憐外出妹,53129,Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,https://cdn.myanimelist.net/images/anime/1540/134808.jpg
搖曳露營△ 第三季,53410,Yuru Camp△ Season 3,https://cdn.myanimelist.net/images/anime/1178/142710.jpg
比宇宙更遠的地方,35839,Sora yori mo Tooi Basho,https://cdn.myanimelist.net/images/anime/6/89879.jpg
一拳超人,30276,One Punch Man,https://cdn.myanimelist.net/images/anime/12/76049.jpg
Anne-Happy,31080,Anne Happy♪,https://cdn.myanimelist.net/images/anime/9/78701.jpg
未確認進行式,20541,Mikakunin de Shinkoukei,https://cdn.myanimelist.net/images/anime/10/75249.jpg
New Game!,31953,New Game!,https://cdn.myanimelist.net/images/anime/9/80417.jpg
Love Live！虹咲學園 學園偶像同好會 第二季,48916,Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,https://cdn.myanimelist.net/images/anime/1586/121947.jpg
Love Live！虹咲學園 學園偶像同好會,40879,Love Live! Nijigasaki Gakuen School Idol Doukoukai,https://cdn.myanimelist.net/images/anime/1393/109203.jpg
Love Live! Superstar!!,41169,Love Live! Superstar!!,https://cdn.myanimelist.net/images/anime/1758/115692.jpg
派對咖孔明,50380,Paripi Koumei,https://cdn.myanimelist.net/images/anime/1970/122297.jpg
雛子的筆記,33948,Hinako Note,https://cdn.myanimelist.net/images/anime/2/84858.jpg
戀愛中的小行星,39388,Koisuru Asteroid,https://cdn.myanimelist.net/images/anime/1142/111693.jpg
